Season,Date,Hometeam,Awayteam,Homescore,Awayscore,Status,Venue,Result,Home_Prior,Away_Prior
2023,2023-09-04T18:00:00Z,HFX Wanderers,Inter Toronto,1,2,FINISHED,Wanderers Grounds,0,-0.8861592625751535,5.848487430554887
2023,2023-09-08T23:00:00Z,Inter Toronto,Valour,1,3,FINISHED,York Lions Stadium,0,-8.9261670237078,-0.8861592625751535
2023,2023-09-09T02:00:00Z,Pacific,HFX Wanderers,1,1,FINISHED,Starlight Stadium,1,5.848487430554887,26.9346063904175
2023,2023-09-09T23:00:00Z,Forge,Cavalry,0,0,FINISHED,Hamilton Stadium,1,34.32551483663788,26.148907774458785
2023,2023-09-10T02:00:00Z,Vancouver FC,Atlético Ottawa,2,1,FINISHED,Willoughby Community Park at the Langley Events Centre,2,-29.05490347928361,-54.84330108091755
2023,2023-09-12T22:00:00Z,HFX Wanderers,Cavalry,1,2,FINISHED,Wanderers Grounds,0,34.32551483663788,5.848487430554887
2023,2023-09-13T21:30:00Z,Atlético Ottawa,Pacific,1,1,FINISHED,TD Place Stadium,1,26.9346063904175,-29.05490347928361
2023,2023-09-16T21:00:00Z,Cavalry,Vancouver FC,2,1,FINISHED,ATCO Field,2,-54.84330108091755,34.32551483663788
2023,2023-09-17T18:00:00Z,Valour,Forge,2,3,FINISHED,Princess Auto Stadium,0,26.148907774458785,-8.9261670237078
2023,2023-09-17T21:00:00Z,Inter Toronto,Pacific,1,4,FINISHED,York Lions Stadium,0,26.9346063904175,-0.8861592625751535
2023,2023-09-18T22:00:00Z,HFX Wanderers,Atlético Ottawa,3,2,FINISHED,Wanderers Grounds,2,-29.05490347928361,5.848487430554887
2023,2023-09-21T00:00:00Z,Valour,Vancouver FC,0,1,FINISHED,Princess Auto Stadium,0,-54.84330108091755,-8.9261670237078
2023,2023-09-23T17:00:00Z,Inter Toronto,Cavalry,0,1,FINISHED,York Lions Stadium,0,34.32551483663788,-0.8861592625751535
2023,2023-09-23T20:00:00Z,Vancouver FC,HFX Wanderers,2,1,FINISHED,Willoughby Community Park at the Langley Events Centre,2,5.848487430554887,-54.84330108091755
2023,2023-09-23T23:00:00Z,Forge,Pacific,3,1,FINISHED,Hamilton Stadium,2,26.9346063904175,26.148907774458785
2023,2023-09-24T18:00:00Z,Atlético Ottawa,Valour,0,1,FINISHED,TD Place Stadium,0,-8.9261670237078,-29.05490347928361
2023,2023-09-30T01:00:00Z,Cavalry,Valour,2,1,FINISHED,ATCO Field,2,-8.9261670237078,34.32551483663788
2023,2023-09-30T18:00:00Z,HFX Wanderers,Forge,2,1,FINISHED,Wanderers Grounds,2,26.148907774458785,5.848487430554887
2023,2023-09-30T21:00:00Z,Pacific,Vancouver FC,1,2,FINISHED,Starlight Stadium,0,-54.84330108091755,26.9346063904175
2023,2023-10-01T17:00:00Z,Inter Toronto,Atlético Ottawa,1,0,FINISHED,York Lions Stadium,2,-29.05490347928361,-0.8861592625751535
2023,2023-10-06T23:30:00Z,Valour,HFX Wanderers,0,1,FINISHED,Princess Auto Stadium,0,5.848487430554887,-8.9261670237078
2023,2023-10-07T02:30:00Z,Vancouver FC,Inter Toronto,1,2,FINISHED,Willoughby Community Park at the Langley Events Centre,0,-0.8861592625751535,-54.84330108091755
2023,2023-10-07T21:00:00Z,Cavalry,Pacific,3,0,FINISHED,ATCO Field,2,26.9346063904175,34.32551483663788
2023,2023-10-07T21:00:00Z,Forge,Atlético Ottawa,0,1,FINISHED,Hamilton Stadium,0,-29.05490347928361,26.148907774458785
2023,2023-10-12T02:00:00Z,Pacific,Inter Toronto,1,0,FINISHED,Starlight Stadium,2,-0.8861592625751535,26.9346063904175
2023,2023-10-14T18:00:00Z,HFX Wanderers,Pacific,0,1,FINISHED,Wanderers Grounds,0,26.9346063904175,5.848487430554887
2023,2023-10-14T21:00:00Z,Cavalry,Forge,1,2,FINISHED,ATCO Field,0,26.148907774458785,34.32551483663788
2023,2023-10-21T20:00:00Z,Cavalry,Pacific,2,1,FINISHED,ATCO Field,2,26.9346063904175,34.32551483663788
2023,2023-10-28T22:00:00Z,Forge,Cavalry,2,1,FINISHED,Hamilton Stadium,2,34.32551483663788,26.148907774458785
2021,2021-06-26T18:00:00Z,Edmonton,Atlético Ottawa,0,1,FINISHED,Princess Auto Stadium,0,-46.46339631232578,-24.582097798063256
2021,2021-06-26T21:00:00Z,Pacific,HFX Wanderers,2,0,FINISHED,Princess Auto Stadium,2,-12.82317646167952,33.87237754963613
2021,2021-06-27T18:00:00Z,Forge,Valour,0,2,FINISHED,Princess Auto Stadium,0,-7.634134019048718,40.20756333022143
2021,2021-06-27T21:00:00Z,Cavalry,Inter Toronto,2,1,FINISHED,Princess Auto Stadium,2,3.2158815487421575,12.821167151285874
2021,2021-06-30T23:00:00Z,Valour,HFX Wanderers,2,0,FINISHED,Princess Auto Stadium,2,-12.82317646167952,-7.634134019048718
2021,2021-07-01T02:00:00Z,Atlético Ottawa,Cavalry,1,4,FINISHED,Princess Auto Stadium,0,12.821167151285874,-46.46339631232578
2021,2021-07-01T21:00:00Z,Inter Toronto,Pacific,2,2,FINISHED,Princess Auto Stadium,1,33.87237754963613,3.2158815487421575
2021,2021-07-02T00:00:00Z,Edmonton,Forge,2,0,FINISHED,Princess Auto Stadium,2,40.20756333022143,-24.582097798063256
2021,2021-07-03T23:00:00Z,Cavalry,HFX Wanderers,0,0,FINISHED,Princess Auto Stadium,1,-12.82317646167952,12.821167151285874
2021,2021-07-04T02:00:00Z,Valour,Atlético Ottawa,2,0,FINISHED,Princess Auto Stadium,2,-46.46339631232578,-7.634134019048718
2021,2021-07-04T23:00:00Z,Forge,Pacific,3,0,FINISHED,Princess Auto Stadium,2,33.87237754963613,40.20756333022143
2021,2021-07-05T02:00:00Z,Edmonton,Inter Toronto,1,1,FINISHED,Princess Auto Stadium,1,3.2158815487421575,-24.582097798063256
2021,2021-07-07T23:00:00Z,Atlético Ottawa,Pacific,0,1,FINISHED,Princess Auto Stadium,0,33.87237754963613,-46.46339631232578
2021,2021-07-08T02:00:00Z,Inter Toronto,Valour,2,1,FINISHED,Princess Auto Stadium,2,-7.634134019048718,3.2158815487421575
2021,2021-07-09T00:00:00Z,Cavalry,Forge,0,2,FINISHED,Princess Auto Stadium,0,40.20756333022143,12.821167151285874
2021,2021-07-10T18:00:00Z,HFX Wanderers,Edmonton,2,1,FINISHED,Princess Auto Stadium,2,-24.582097798063256,-12.82317646167952
2021,2021-07-10T21:00:00Z,Pacific,Inter Toronto,3,0,FINISHED,Princess Auto Stadium,2,3.2158815487421575,33.87237754963613
2021,2021-07-11T17:30:00Z,Valour,Forge,1,0,FINISHED,Princess Auto Stadium,2,40.20756333022143,-7.634134019048718
2021,2021-07-12T01:00:00Z,Cavalry,Atlético Ottawa,0,2,FINISHED,Princess Auto Stadium,0,-46.46339631232578,12.821167151285874
2021,2021-07-14T00:00:00Z,HFX Wanderers,Pacific,0,0,FINISHED,Princess Auto Stadium,1,33.87237754963613,-12.82317646167952
2021,2021-07-14T23:00:00Z,Inter Toronto,Cavalry,0,0,FINISHED,Princess Auto Stadium,1,12.821167151285874,3.2158815487421575
2021,2021-07-15T02:00:00Z,Forge,Edmonton,1,0,FINISHED,Princess Auto Stadium,2,-24.582097798063256,40.20756333022143
2021,2021-07-15T21:00:00Z,Atlético Ottawa,Valour,0,1,FINISHED,Princess Auto Stadium,0,-7.634134019048718,-46.46339631232578
2021,2021-07-17T23:00:00Z,HFX Wanderers,Cavalry,1,2,FINISHED,Princess Auto Stadium,0,12.821167151285874,-12.82317646167952
2021,2021-07-18T02:00:00Z,Pacific,Forge,1,2,FINISHED,Princess Auto Stadium,0,40.20756333022143,33.87237754963613
2021,2021-07-18T23:30:00Z,Valour,Inter Toronto,3,0,FINISHED,Princess Auto Stadium,2,3.2158815487421575,-7.634134019048718
2021,2021-07-19T02:30:00Z,Atlético Ottawa,Edmonton,1,1,FINISHED,Princess Auto Stadium,1,-24.582097798063256,-46.46339631232578
2021,2021-07-21T23:00:00Z,Edmonton,HFX Wanderers,1,0,FINISHED,Princess Auto Stadium,2,-12.82317646167952,-24.582097798063256
2021,2021-07-22T02:00:00Z,Pacific,Atlético Ottawa,4,2,FINISHED,Princess Auto Stadium,2,-46.46339631232578,33.87237754963613
2021,2021-07-23T00:00:00Z,Forge,Cavalry,1,2,FINISHED,Princess Auto Stadium,0,12.821167151285874,40.20756333022143
2021,2021-07-24T18:00:00Z,HFX Wanderers,Valour,1,0,FINISHED,Princess Auto Stadium,2,-7.634134019048718,-12.82317646167952
2021,2021-07-24T21:00:00Z,Inter Toronto,Edmonton,1,0,FINISHED,Princess Auto Stadium,2,-24.582097798063256,3.2158815487421575
2021,2021-07-30T23:00:00Z,Inter Toronto,Forge,0,1,FINISHED,York Lions Stadium,0,40.20756333022143,3.2158815487421575
2021,2021-07-31T01:30:00Z,Pacific,Cavalry,2,0,FINISHED,Starlight Stadium,2,12.821167151285874,33.87237754963613
2021,2021-08-01T01:00:00Z,Edmonton,Valour,3,1,FINISHED,Clarke Field,2,-7.634134019048718,-24.582097798063256
2021,2021-08-02T18:00:00Z,HFX Wanderers,Atlético Ottawa,2,1,FINISHED,Wanderers Grounds,2,-46.46339631232578,-12.82317646167952
2021,2021-08-04T01:00:00Z,Cavalry,Edmonton,2,1,FINISHED,ATCO Field,2,-24.582097798063256,12.821167151285874
2021,2021-08-04T23:00:00Z,Forge,Inter Toronto,0,1,FINISHED,Hamilton Stadium,0,3.2158815487421575,40.20756333022143
2021,2021-08-05T01:30:00Z,Pacific,Valour,2,1,FINISHED,Starlight Stadium,2,-7.634134019048718,33.87237754963613
2021,2021-08-07T18:00:00Z,HFX Wanderers,Inter Toronto,2,3,FINISHED,Wanderers Grounds,0,3.2158815487421575,-12.82317646167952
2021,2021-08-07T22:30:00Z,Pacific,Edmonton,2,2,FINISHED,Starlight Stadium,1,-24.582097798063256,33.87237754963613
2021,2021-08-08T17:00:00Z,Forge,Atlético Ottawa,2,0,FINISHED,Hamilton Stadium,2,-46.46339631232578,40.20756333022143
2021,2021-08-08T20:00:00Z,Cavalry,Valour,1,0,FINISHED,ATCO Field,2,-7.634134019048718,12.821167151285874
2021,2021-08-12T01:00:00Z,Cavalry,Pacific,0,0,FINISHED,ATCO Field,1,33.87237754963613,12.821167151285874
2021,2021-08-13T01:00:00Z,Edmonton,Valour,0,0,FINISHED,Clarke Field,1,-7.634134019048718,-24.582097798063256
2021,2021-08-14T19:00:00Z,Atlético Ottawa,HFX Wanderers,2,1,FINISHED,TD Place Stadium,2,-12.82317646167952,-46.46339631232578
2021,2021-08-17T00:00:00Z,Valour,Pacific,0,2,FINISHED,Princess Auto Stadium,0,33.87237754963613,-7.634134019048718
2021,2021-08-18T23:00:00Z,Atlético Ottawa,Inter Toronto,1,1,FINISHED,TD Place Stadium,1,3.2158815487421575,-46.46339631232578
2021,2021-08-21T01:30:00Z,Pacific,Cavalry,1,2,FINISHED,Starlight Stadium,0,12.821167151285874,33.87237754963613
2021,2021-08-22T20:00:00Z,Forge,HFX Wanderers,1,1,FINISHED,Hamilton Stadium,1,-12.82317646167952,40.20756333022143
2021,2021-08-25T00:00:00Z,Valour,Edmonton,3,0,FINISHED,Princess Auto Stadium,2,-24.582097798063256,-7.634134019048718
2021,2021-08-25T22:00:00Z,Inter Toronto,HFX Wanderers,1,1,FINISHED,York Lions Stadium,1,-12.82317646167952,3.2158815487421575
2021,2021-08-26T00:00:00Z,Forge,Atlético Ottawa,4,0,FINISHED,Hamilton Stadium,2,-46.46339631232578,40.20756333022143
2021,2021-08-28T20:00:00Z,Forge,Inter Toronto,3,1,FINISHED,Hamilton Stadium,2,3.2158815487421575,40.20756333022143
2021,2021-08-29T17:30:00Z,Atlético Ottawa,HFX Wanderers,2,2,FINISHED,TD Place Stadium,1,-12.82317646167952,-46.46339631232578
2021,2021-08-29T20:00:00Z,Cavalry,Edmonton,2,2,FINISHED,ATCO Field,1,-24.582097798063256,12.821167151285874
2021,2021-08-29T22:30:00Z,Pacific,Valour,3,2,FINISHED,Starlight Stadium,2,-7.634134019048718,33.87237754963613
2021,2021-09-01T23:00:00Z,Atlético Ottawa,Inter Toronto,2,2,FINISHED,TD Place Stadium,1,3.2158815487421575,-46.46339631232578
2021,2021-09-02T01:00:00Z,Edmonton,Cavalry,0,1,FINISHED,Clarke Field,0,12.821167151285874,-24.582097798063256
2021,2021-09-03T21:00:00Z,HFX Wanderers,Forge,2,0,FINISHED,Wanderers Grounds,2,40.20756333022143,-12.82317646167952
2021,2021-09-04T22:30:00Z,Valour,Cavalry,0,1,FINISHED,Princess Auto Stadium,0,12.821167151285874,-7.634134019048718
2021,2021-09-05T01:00:00Z,Edmonton,Pacific,1,2,FINISHED,Clarke Field,0,33.87237754963613,-24.582097798063256
2021,2021-09-06T18:00:00Z,HFX Wanderers,Inter Toronto,3,3,FINISHED,Wanderers Grounds,1,3.2158815487421575,-12.82317646167952
2021,2021-09-08T00:00:00Z,Valour,Edmonton,0,3,FINISHED,Princess Auto Stadium,0,-24.582097798063256,-7.634134019048718
2021,2021-09-08T23:00:00Z,Atlético Ottawa,Forge,0,1,FINISHED,TD Place Stadium,0,40.20756333022143,-46.46339631232578
2021,2021-09-10T02:00:00Z,Pacific,Cavalry,3,1,FINISHED,Starlight Stadium,2,12.821167151285874,33.87237754963613
2021,2021-09-11T17:30:00Z,Atlético Ottawa,HFX Wanderers,1,2,FINISHED,TD Place Stadium,0,-12.82317646167952,-46.46339631232578
2021,2021-09-11T20:00:00Z,Forge,Inter Toronto,0,2,FINISHED,Hamilton Stadium,0,3.2158815487421575,40.20756333022143
2021,2021-09-14T23:00:00Z,Inter Toronto,Atlético Ottawa,2,0,FINISHED,York Lions Stadium,2,-46.46339631232578,3.2158815487421575
2021,2021-09-15T01:30:00Z,Edmonton,Pacific,1,1,FINISHED,Clarke Field,1,33.87237754963613,-24.582097798063256
2021,2021-09-18T18:00:00Z,Inter Toronto,HFX Wanderers,0,0,FINISHED,York Lions Stadium,1,-12.82317646167952,3.2158815487421575
2021,2021-09-18T20:00:00Z,Valour,Cavalry,1,1,FINISHED,Princess Auto Stadium,1,12.821167151285874,-7.634134019048718
2021,2021-09-19T21:00:00Z,Pacific,Atlético Ottawa,1,1,FINISHED,Starlight Stadium,1,-46.46339631232578,33.87237754963613
2021,2021-09-25T18:00:00Z,HFX Wanderers,Edmonton,1,0,FINISHED,Wanderers Grounds,2,-24.582097798063256,-12.82317646167952
2021,2021-09-25T20:30:00Z,Atlético Ottawa,Cavalry,3,1,FINISHED,TD Place Stadium,2,12.821167151285874,-46.46339631232578
2021,2021-09-25T23:00:00Z,Forge,Pacific,2,1,FINISHED,Hamilton Stadium,2,33.87237754963613,40.20756333022143
2021,2021-09-26T18:00:00Z,Inter Toronto,Valour,2,1,FINISHED,York Lions Stadium,2,-7.634134019048718,3.2158815487421575
2021,2021-09-29T21:30:00Z,HFX Wanderers,Atlético Ottawa,2,1,FINISHED,Wanderers Grounds,2,-46.46339631232578,-12.82317646167952
2021,2021-09-29T23:45:00Z,Valour,Pacific,1,3,FINISHED,Princess Auto Stadium,0,33.87237754963613,-7.634134019048718
2021,2021-09-30T02:00:00Z,Edmonton,Cavalry,2,3,FINISHED,Clarke Field,0,12.821167151285874,-24.582097798063256
2021,2021-10-02T19:00:00Z,Valour,Edmonton,1,1,FINISHED,Princess Auto Stadium,1,-24.582097798063256,-7.634134019048718
2021,2021-10-03T17:00:00Z,Inter Toronto,HFX Wanderers,2,2,FINISHED,York Lions Stadium,1,-12.82317646167952,3.2158815487421575
2021,2021-10-03T19:30:00Z,Atlético Ottawa,Forge,0,3,FINISHED,TD Place Stadium,0,40.20756333022143,-46.46339631232578
2021,2021-10-06T00:00:00Z,Valour,Cavalry,0,0,FINISHED,Princess Auto Stadium,1,12.821167151285874,-7.634134019048718
2021,2021-10-06T22:00:00Z,HFX Wanderers,Forge,0,1,FINISHED,Wanderers Grounds,0,40.20756333022143,-12.82317646167952
2021,2021-10-07T01:00:00Z,Edmonton,Pacific,2,1,FINISHED,Clarke Field,2,33.87237754963613,-24.582097798063256
2021,2021-10-08T23:30:00Z,Inter Toronto,Atlético Ottawa,1,1,FINISHED,York Lions Stadium,1,-46.46339631232578,3.2158815487421575
2021,2021-10-09T20:00:00Z,Cavalry,Edmonton,1,1,FINISHED,ATCO Field,1,-24.582097798063256,12.821167151285874
2021,2021-10-11T17:00:00Z,HFX Wanderers,Pacific,1,0,FINISHED,Wanderers Grounds,2,33.87237754963613,-12.82317646167952
2021,2021-10-11T19:00:00Z,Valour,Forge,3,1,FINISHED,Princess Auto Stadium,2,40.20756333022143,-7.634134019048718
2021,2021-10-13T01:00:00Z,Edmonton,Atlético Ottawa,3,4,FINISHED,Clarke Field,0,-46.46339631232578,-24.582097798063256
2021,2021-10-15T01:00:00Z,Cavalry,Inter Toronto,2,1,FINISHED,ATCO Field,2,3.2158815487421575,12.821167151285874
2021,2021-10-16T19:30:00Z,Forge,Atlético Ottawa,2,0,FINISHED,Hamilton Stadium,2,-46.46339631232578,40.20756333022143
2021,2021-10-16T22:00:00Z,Pacific,Valour,3,2,FINISHED,Starlight Stadium,2,-7.634134019048718,33.87237754963613
2021,2021-10-17T18:00:00Z,Inter Toronto,Edmonton,1,1,FINISHED,York Lions Stadium,1,-24.582097798063256,3.2158815487421575
2021,2021-10-17T20:00:00Z,Cavalry,HFX Wanderers,0,0,FINISHED,ATCO Field,1,-12.82317646167952,12.821167151285874
2021,2021-10-20T23:00:00Z,Atlético Ottawa,Valour,2,0,FINISHED,TD Place Stadium,2,-7.634134019048718,-46.46339631232578
2021,2021-10-22T01:00:00Z,Cavalry,Pacific,2,1,FINISHED,ATCO Field,2,33.87237754963613,12.821167151285874
2021,2021-10-23T18:00:00Z,HFX Wanderers,Forge,0,0,FINISHED,Wanderers Grounds,1,40.20756333022143,-12.82317646167952
2021,2021-10-24T18:00:00Z,Atlético Ottawa,Inter Toronto,1,1,FINISHED,TD Place Stadium,1,3.2158815487421575,-46.46339631232578
2021,2021-10-27T00:30:00Z,Valour,HFX Wanderers,3,0,FINISHED,Princess Auto Stadium,2,-12.82317646167952,-7.634134019048718
2021,2021-10-27T02:30:00Z,Pacific,Edmonton,5,1,FINISHED,Starlight Stadium,2,-24.582097798063256,33.87237754963613
2021,2021-10-30T17:00:00Z,Forge,HFX Wanderers,4,1,FINISHED,Hamilton Stadium,2,-12.82317646167952,40.20756333022143
2021,2021-10-30T19:30:00Z,Cavalry,Valour,2,4,FINISHED,ATCO Field,0,-7.634134019048718,12.821167151285874
2021,2021-10-30T22:00:00Z,Pacific,Inter Toronto,1,2,FINISHED,Starlight Stadium,0,3.2158815487421575,33.87237754963613
2021,2021-11-06T17:00:00Z,Inter Toronto,Forge,1,2,FINISHED,York Lions Stadium,0,40.20756333022143,3.2158815487421575
2021,2021-11-06T19:30:00Z,Edmonton,Valour,3,3,FINISHED,Clarke Field,1,-7.634134019048718,-24.582097798063256
2021,2021-11-07T18:00:00Z,HFX Wanderers,Atlético Ottawa,1,1,FINISHED,Wanderers Grounds,1,-46.46339631232578,-12.82317646167952
2021,2021-11-07T20:30:00Z,Cavalry,Pacific,1,0,FINISHED,ATCO Field,2,33.87237754963613,12.821167151285874
2021,2021-11-10T00:00:00Z,Inter Toronto,Forge,1,3,FINISHED,York Lions Stadium,0,40.20756333022143,3.2158815487421575
2021,2021-11-13T19:00:00Z,Edmonton,Forge,1,0,FINISHED,Clarke Field,2,40.20756333022143,-24.582097798063256
2021,2021-11-16T23:00:00Z,Forge,Cavalry,0,1,FINISHED,Hamilton Stadium,0,12.821167151285874,40.20756333022143
2021,2021-11-20T20:00:00Z,Cavalry,Pacific,1,2,FINISHED,ATCO Field,0,33.87237754963613,12.821167151285874
2021,2021-11-21T20:00:00Z,Forge,Inter Toronto,3,1,FINISHED,Hamilton Stadium,2,3.2158815487421575,40.20756333022143
2021,2021-12-05T21:30:00Z,Forge,Pacific,0,1,FINISHED,Hamilton Stadium,0,33.87237754963613,40.20756333022143
2024,2024-04-13T17:00:00Z,Atlético Ottawa,Inter Toronto,2,1,FINISHED,TD Place Stadium,2,8.374167756156194,14.807704264523757
2024,2024-04-13T20:00:00Z,Forge,Cavalry,2,1,FINISHED,Hamilton Stadium,2,33.3461674523474,37.762646945147424
2024,2024-04-13T23:00:00Z,Pacific,HFX Wanderers,1,0,FINISHED,Starlight Stadium,2,-13.97040552681725,-10.330696692222237
2024,2024-04-14T23:00:00Z,Vancouver FC,Valour,4,1,FINISHED,Willoughby Community Park at the Langley Events Centre,2,-40.03161630131044,-28.9545860204716
2024,2024-04-19T02:00:00Z,Vancouver FC,HFX Wanderers,2,0,FINISHED,Willoughby Community Park at the Langley Events Centre,2,-13.97040552681725,-28.9545860204716
2024,2024-04-20T02:00:00Z,Pacific,Valour,2,0,FINISHED,Starlight Stadium,2,-40.03161630131044,-10.330696692222237
2024,2024-04-20T18:00:00Z,Atlético Ottawa,Cavalry,1,1,FINISHED,TD Place Stadium,1,33.3461674523474,14.807704264523757
2024,2024-04-21T20:00:00Z,Inter Toronto,Forge,0,3,FINISHED,York Lions Stadium,0,37.762646945147424,8.374167756156194
2024,2024-04-26T23:00:00Z,Inter Toronto,Vancouver FC,3,0,FINISHED,York Lions Stadium,2,-28.9545860204716,8.374167756156194
2024,2024-04-27T17:00:00Z,HFX Wanderers,Atlético Ottawa,1,3,FINISHED,Wanderers Grounds,0,14.807704264523757,-13.97040552681725
2024,2024-04-27T20:00:00Z,Forge,Valour,2,1,FINISHED,Hamilton Stadium,2,-40.03161630131044,37.762646945147424
2024,2024-04-28T21:00:00Z,Cavalry,Pacific,0,0,FINISHED,ATCO Field,1,-10.330696692222237,33.3461674523474
2024,2024-05-04T01:00:00Z,Cavalry,Vancouver FC,3,1,FINISHED,ATCO Field,2,-28.9545860204716,33.3461674523474
2024,2024-05-04T23:00:00Z,Pacific,Inter Toronto,2,0,FINISHED,Starlight Stadium,2,8.374167756156194,-10.330696692222237
2024,2024-05-05T18:00:00Z,Atlético Ottawa,Valour,2,0,FINISHED,TD Place Stadium,2,-40.03161630131044,14.807704264523757
2024,2024-05-10T23:00:00Z,Inter Toronto,Valour,3,1,FINISHED,York Lions Stadium,2,-40.03161630131044,8.374167756156194
2024,2024-05-11T18:00:00Z,HFX Wanderers,Cavalry,1,1,FINISHED,Wanderers Grounds,1,33.3461674523474,-13.97040552681725
2024,2024-05-11T21:00:00Z,Pacific,Forge,0,0,FINISHED,Starlight Stadium,1,37.762646945147424,-10.330696692222237
2024,2024-05-12T23:00:00Z,Vancouver FC,Atlético Ottawa,1,1,FINISHED,Willoughby Community Park at the Langley Events Centre,1,14.807704264523757,-28.9545860204716
2024,2024-05-18T02:00:00Z,Pacific,Atlético Ottawa,0,1,FINISHED,Starlight Stadium,0,14.807704264523757,-10.330696692222237
2024,2024-05-18T20:00:00Z,Forge,Vancouver FC,1,2,FINISHED,Hamilton Stadium,0,-28.9545860204716,37.762646945147424
2024,2024-05-18T23:00:00Z,Cavalry,Inter Toronto,2,2,FINISHED,ATCO Field,1,8.374167756156194,33.3461674523474
2024,2024-05-20T19:00:00Z,HFX Wanderers,Valour,1,2,FINISHED,Wanderers Grounds,0,-40.03161630131044,-13.97040552681725
2024,2024-05-24T23:00:00Z,Inter Toronto,HFX Wanderers,2,1,FINISHED,York Lions Stadium,2,-13.97040552681725,8.374167756156194
2024,2024-05-25T19:00:00Z,Atlético Ottawa,Forge,3,0,FINISHED,TD Place Stadium,2,37.762646945147424,14.807704264523757
2024,2024-05-25T22:00:00Z,Vancouver FC,Pacific,2,1,FINISHED,Willoughby Community Park at the Langley Events Centre,2,-10.330696692222237,-28.9545860204716
2024,2024-05-26T21:00:00Z,Cavalry,Valour,1,1,FINISHED,ATCO Field,1,-40.03161630131044,33.3461674523474
2024,2024-06-01T20:00:00Z,Forge,Inter Toronto,3,0,FINISHED,Hamilton Stadium,2,8.374167756156194,37.762646945147424
2024,2024-06-01T23:00:00Z,Pacific,Cavalry,1,1,FINISHED,Starlight Stadium,1,33.3461674523474,-10.330696692222237
2024,2024-06-02T18:00:00Z,Atlético Ottawa,HFX Wanderers,2,2,FINISHED,TD Place Stadium,1,-13.97040552681725,14.807704264523757
2024,2024-06-02T22:55:00Z,Valour,Vancouver FC,2,0,FINISHED,Princess Auto Stadium,2,-28.9545860204716,-40.03161630131044
2024,2024-06-08T18:00:00Z,HFX Wanderers,Pacific,0,0,FINISHED,Wanderers Grounds,1,-10.330696692222237,-13.97040552681725
2024,2024-06-08T21:00:00Z,Cavalry,Forge,1,0,FINISHED,ATCO Field,2,37.762646945147424,33.3461674523474
2024,2024-06-09T17:30:00Z,Valour,Atlético Ottawa,0,2,FINISHED,Princess Auto Stadium,0,14.807704264523757,-40.03161630131044
2024,2024-06-09T22:00:00Z,Inter Toronto,Vancouver FC,2,2,FINISHED,York Lions Stadium,1,-28.9545860204716,8.374167756156194
2024,2024-06-15T00:00:00Z,Valour,Pacific,2,3,FINISHED,Princess Auto Stadium,0,-10.330696692222237,-40.03161630131044
2024,2024-06-15T17:00:00Z,Atlético Ottawa,Inter Toronto,1,2,FINISHED,TD Place Stadium,0,8.374167756156194,14.807704264523757
2024,2024-06-15T20:00:00Z,HFX Wanderers,Forge,2,2,FINISHED,Wanderers Grounds,1,37.762646945147424,-13.97040552681725
2024,2024-06-16T21:00:00Z,Vancouver FC,Cavalry,0,0,FINISHED,Apple Bowl,1,33.3461674523474,-28.9545860204716
2024,2024-06-19T23:00:00Z,Inter Toronto,Pacific,2,0,FINISHED,York Lions Stadium,2,-10.330696692222237,8.374167756156194
2024,2024-06-22T01:00:00Z,Cavalry,Atlético Ottawa,1,1,FINISHED,ATCO Field,1,14.807704264523757,33.3461674523474
2024,2024-06-23T20:00:00Z,Forge,Valour,2,1,FINISHED,Hamilton Stadium,2,-40.03161630131044,37.762646945147424
2024,2024-06-23T23:00:00Z,Vancouver FC,HFX Wanderers,0,4,FINISHED,Willoughby Community Park at the Langley Events Centre,0,-13.97040552681725,-28.9545860204716
2024,2024-06-27T23:30:00Z,Valour,Inter Toronto,1,0,FINISHED,Princess Auto Stadium,2,8.374167756156194,-40.03161630131044
2024,2024-06-28T02:30:00Z,Pacific,Vancouver FC,1,2,FINISHED,Starlight Stadium,0,-28.9545860204716,-10.330696692222237
2024,2024-06-28T23:00:00Z,Atlético Ottawa,Forge,4,3,FINISHED,TD Place Stadium,2,37.762646945147424,14.807704264523757
2024,2024-07-01T20:00:00Z,HFX Wanderers,Cavalry,1,0,FINISHED,Wanderers Grounds,2,33.3461674523474,-13.97040552681725
2024,2024-07-05T23:00:00Z,Forge,Vancouver FC,3,3,FINISHED,Hamilton Stadium,1,-28.9545860204716,37.762646945147424
2024,2024-07-06T20:00:00Z,Inter Toronto,HFX Wanderers,2,1,FINISHED,York Lions Stadium,2,-13.97040552681725,8.374167756156194
2024,2024-07-07T17:00:00Z,Atlético Ottawa,Pacific,0,1,FINISHED,TD Place Stadium,0,-10.330696692222237,14.807704264523757
2024,2024-07-07T21:00:00Z,Valour,Cavalry,0,1,FINISHED,Princess Auto Stadium,0,33.3461674523474,-40.03161630131044
2024,2024-07-13T02:00:00Z,Vancouver FC,Atlético Ottawa,0,3,FINISHED,Willoughby Community Park at the Langley Events Centre,0,14.807704264523757,-28.9545860204716
2024,2024-07-13T20:00:00Z,Cavalry,Inter Toronto,1,2,FINISHED,ATCO Field,0,8.374167756156194,33.3461674523474
2024,2024-07-14T23:00:00Z,Forge,Pacific,2,1,FINISHED,Hamilton Stadium,2,-10.330696692222237,37.762646945147424
